Codigo de barrio;Codigo de distrito al que pertenece;Nombre de barrio;Nombre acentuado del barrio;Superficie (m2);Perimetro (m)
1;1;PALACIO             ;PALACIO             ;1471085;5754
1;2;IMPERIAL            ;IMPERIAL            ;967500;4557
1;3;PACIFICO            ;PACÍFICO            ;750065;4005
1;4;RECOLETOS           ;RECOLETOS           ;870857;3927
1;5;EL VISO             ;EL VISO             ;1708046;5269
1;6;BELLAS VISTAS       ;BELLAS VISTAS       ;716261;3443
1;7;GAZTAMBIDE          ;GAZTAMBIDE          ;506596;2969
1;8;EL PARDO            ;EL PARDO            ;187642916;87125
1;9;CASA DE CAMPO       ;CASA DE CAMPO       ;17470075;19233
1;10;LOS CARMENES        ;LOS CÁRMENES        ;1292235;6186
1;11;COMILLAS            ;COMILLAS            ;665999;4257
1;12;ORCASITAS           ;ORCASITAS           ;1356371;4664
1;13;ENTREVIAS           ;ENTREVÍAS           ;5996932;11057
1;14;PAVONES             ;PAVONES             ;1016979;4134
1;15;VENTAS              ;VENTAS              ;3198045;8207
1;16;PALOMAS             ;PALOMAS             ;1128602;4988
1;17;SAN ANDRES          ;SAN ANDRÉS          ;9192451;13710
1;18;CASCO H.VALLECAS    ;CASCO H.VALLECAS    ;49359337;31924
1;19;CASCO H.VICALVARO   ;CASCO H.VICÁLVARO   ;32924620;33326
1;20;SIMANCAS            ;SIMANCAS            ;2278418;6678
1;21;ALAMEDA DE OSUNA    ;ALAMEDA DE OSUNA    ;1961904;6043
2;1;EMBAJADORES         ;EMBAJADORES         ;1032822;4267
2;2;ACACIAS             ;ACACIAS             ;1074172;3950
2;3;ADELFAS             ;ADELFAS             ;640692;3584
2;4;GOYA                ;GOYA                ;771228;3473
2;5;PROSPERIDAD         ;PROSPERIDAD         ;1043284;5250
2;6;CUATRO CAMINOS      ;CUATRO CAMINOS      ;1193509;4366
2;7;ARAPILES            ;ARAPILES            ;578534;3096
2;8;FUENTELARREINA      ;FUENTELARREINA      ;1382646;7691
2;9;ARGUELLES           ;ARGUELLES           ;755758;5245
2;10;PUERTA DEL ANGEL    ;PUERTA DEL ÁNGEL    ;1374799;5373
2;11;OPAÑEL              ;OPAÑEL              ;1106597;4492
2;12;ORCASUR             ;ORCASUR             ;1384234;5962
2;13;SAN DIEGO           ;SAN DIEGO           ;1069944;4726
2;14;HORCAJO             ;HORCAJO             ;745503;3901
2;15;PUEBLO NUEVO        ;PUEBLO NUEVO        ;2319230;7746
2;16;PIOVERA             ;PIOVERA             ;3139060;7812
2;17;SAN CRISTOBAL       ;SAN CRISTÓBAL       ;1106718;4810
2;18;SANTA EUGENIA       ;SANTA EUGENIA       ;2070637;6831
2;19;AMBROZ              ;AMBROZ              ;2354258;8336
2;20;HELLIN              ;HELLÍN              ;549031;3988
2;21;AEROPUERTO          ;AEROPUERTO          ;25132277;26448
3;1;CORTES              ;CORTES              ;592070;3731
3;2;CHOPERA             ;CHOPERA             ;566358;3203
3;3;ESTRELLA            ;ESTRELLA            ;1025805;4441
3;4;FUENTE DEL BERRO    ;FUENTE DEL BERRO    ;852579;3886
3;5;CIUDAD JARDIN       ;CIUDAD JARDÍN       ;762371;3915
3;6;CASTILLEJOS         ;CASTILLEJOS         ;708501;3556
3;7;TRAFALGAR           ;TRAFALGAR           ;611950;3505
3;8;PEÑA GRANDE         ;PEÑA GRANDE         ;2890405;7331
3;9;CIUDAD UNIVERSITARIA;CIUDAD UNIVERSITARIA;14248243;19453
3;10;LUCERO              ;LUCERO              ;1679450;5498
3;11;SAN ISIDRO          ;SAN ISIDRO          ;1899346;6149
3;12;SAN FERMIN          ;SAN FERMÍN          ;1463692;5836
3;13;PALOMERAS BAJAS     ;PALOMERAS BAJAS     ;1724430;5649
3;14;MARROQUINA          ;MARROQUINA          ;1789256;6746
3;15;QUINTANA            ;QUINTANA            ;722756;4440
3;16;CANILLAS            ;CANILLAS            ;2516943;7532
3;17;BUTARQUE            ;BUTARQUE            ;6425005;12719
3;20;AMPOSTA             ;AMPOSTA             ;370250;3097
3;21;CASCO H.BARAJAS     ;CASCO H.BARAJAS     ;609202;4033
4;1;JUSTICIA            ;JUSTICIA            ;742034;3598
4;2;LEGAZPI             ;LEGAZPI             ;1396410;5120
