PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,Column
4949641,Casa - Museo del Ratoncito Pérez," La residencia de la familia Pérez está  situada en los sótanos de la confitería Prasi,  en el número ocho de la calle del Arenal, según cita Luis Coloma. ","  Lunes  de 17 a 20 horas.  De martes a viernes de 11 a 14 horas y de 17 a 20 horas.  Sábados de 11 a 15 horas y de 16 a 20 horas.  Domingos y festivos de 12 a 15 horas y de 16 a 19 horas.  Horario orientativo, consultar disponiblidad en la web del Museo.    "," Metro: Sol (líneas: 1, 2 y 3)  Bus: 3, 50 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD,ARENAL,CALLE,8,MADRID,MADRID,28013,SOL,CENTRO,440254,4474494,40.41704834412296,-3.7055288844865233,915 226 968, 
4847190,Casa Museo Lope de Vega,"&quot;Mi casilla, mi quietud, mi g&uuml;ertecillo y estudio&quot;. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 años. La recreación de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliográficas vinculadas al literato y su tiempo. "," Para la visita es  imprescindible reserva anticipada  en:  casamuseolopedevega@madrid.org  o en el teléfono: 914 299 216, en horario del museo   De martes a domingo de 10 a 18 horas.   Cerrado los lunes, días 1 y 6 de enero, 1 y 15 de mayo y 24, 25 y 31 de diciembre   Este horario puede sufrir alteraciones por actividades extraordinarias que se celebran en este espacio. "," Metro: Antón Martín (línea 1)   Bus: 6, 9, 10, 14, 26, 27, 32, 34, 37, 45, 57 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,CERVANTES,CALLE,11,MADRID,MADRID,28014,CORTES,CENTRO,440935,4474190,40.414358466555235,-3.6974741545860015,914 299 216, 
5682031,Castillo de la Alameda,El edificio está incorporado al sistema &quot;museosdemadrid&quot; donde se realizan talleres para escolares y actividades en verano.,"  Abierto fines de semana y festivos (incluso los lunes festivos)  De abril a septiembre: sábados, domingos y festivos de 10 a 21 horas  De octubre a marzo: sábados, domingos y festivos de 10 a 18 horas  Cerrado: 24, 25, 31 de diciembre, 1 de enero, 6 de enero, 1 de mayo.  "," Metro: Alameda de Osuna (línea 5), El Capricho (línea 5)  Autobuses: 101, 105, 112, 114, 115 y 151 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,ANTONIO SANCHA,CALLE,1,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,449807,4479009,40.45835460563491,-3.5932903820278788,"913 667 415                                                                   
", 
2064,Casón del Buen Retiro," Edificio que forma parte del Museo Nacional del Prado, donde pueden consultarse fondos de la Biblioteca, del Archivo y del Servicio de Documentación de la colección del Museo y de otras fuentes relativas a la historia del arte. ","  Mañanas    De lunes a jueves, de 9 a 15 horas. (Servicio de libros y otros materiales hasta las 14:30 horas)   Viernes, de 9 a 14:30 horas. (Servicio de libros y otros materiales hasta las 14 horas)     Tardes.  Lunes y miércoles, de 15 a 18 horas. (Servicio de libros y otros materiales hasta las 17:30 horas)   Horario de verano     Desde el 16 de junio al 15 de septiembre  Lunes a viernes, de 9 a 14:30 horas   "," Metro: Atocha (Línea 1)  Bus: 19, 10, 14, 27, 34, 37, 45  Renfe: Atocha ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,ALFONSO XII,CALLE,28,MADRID,MADRID,28014,LOS JERONIMOS,RETIRO,441635,4474285,40.415263749471535,-3.689232811717636,902 107 077, 
103331,Centro Social y Cultural la Casa Encendida," Edificio de carácter monumental. De estilo neomudéjar, fue diseñado por el arquitecto Fernando Arbós e inaugurado en el año 1913. Cuenta con más de 6.000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea. ","  De lunes a domingo de 10 a 22 horas (todos los días del año, excepto festividades nacionales y de la Comunidad de Madrid)  Exposiciones: de 10 a 21:45 horas  "," Metro: Embajadores (línea 3), Lavapies (línea 3), Atocha (línea 1)   Bus: 27, 34, 36, 41, 68, 69, 119   Renfe: Embajadores ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,VALENCIA,RONDA,2,MADRID,MADRID,28012,EMBAJADORES,CENTRO,440732,4473259,40.40595710517701,-3.699779793558763,"902 430 322                                              
", 
6469186,Ermita de San Antonio de la Florida (Museo)," Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se trasladó el culto a una ermita gemela construida a su lado, dejando el edificio original como museo. ","  De martes a domingos y festivos de 9:30 a 20 horas.   Cerrado  los lunes, incluidos festivos, y los días 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre.   Último pase de visita:  20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes)   Por motivos de conservación, el aforo máximo es de 50 personas en el interior de la capilla.  Los sábados que se celebren Visitas animadas para familias se interrumpirá la visita durante el desarrollo de las mismas.  Este horario y la apertura de salas pueden sufrir modificaciones, por favor, confírmelo en el teléfono de información del museo.  "," Metro: Príncipe Pío (líneas 5, 10 y ramal Ópera - Príncipe Pío)  Bus: 41, 46 y 75 (Intercambiador Príncipe Pío)  Renfe: Príncipe Pío ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,SAN ANTONIO DE LA FLORIDA,GLORIETA,5,MADRID,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,438548,4475419,40.425256682855846,-3.725725718176111,"915 420 722 / 917 011 863                                                                                                                              
", 
3348,Monasterio de las Descalzas Reales," Convento fundado por la Princesa Juana de Austria, transformando un antiguo palacio de su madre Isabel de Portugal. "," Sólo con visita guiada.    De martes a sábado de 10 a 14 horas y de 16 a 18:30 horas  Domingos y festivos, de 10 a 15 horas. Cerrado los lunes  Cierre de taquillas una hora antes  Cerrado:   Enero: días 1, 6.  Abril: del 1 al 4 inclusive, semana santa.  Mayo: día 1.  Diciembre: 24, 25 y 31 de diciembre.    El  7 de diciembre  abierto en horario de mañana y tarde.     Atención telefónica:    De lunes a sábados de 9:30 a 17 horas  Domingos y festivos de 9 a 14 horas  "," Metro: Callao (líneas 3, 5) , Santo Domingo (línea 2) , Sol (líneas 1, 2, 3) Gran Vía (líneas 1, 5)  Bus: 1, 2, 3, 5, 15, 20, 25, 39, 40, 44, 46, 50, 51, 52, 53, 74, 75, 133, 146, 147, 148, 149, 150, 202 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12e113db5b71c010VgnVCM1000000b205a0aRCRD,DESCALZAS,PLAZA,3,MADRID,MADRID,28013,SOL,CENTRO,440197,4474626,40.418233359889484,-3.706213134639163,"914 548 700                                                      
", 
5873478,Museo ABC,"Centro de arte, dibujo e ilustración. ",  De martes a sábados: de 11 a 20 horas  Domingos: de 10 a 14 horas   ," Metro: San Bernardo (líneas 2, 4), Noviciado (línea 2), Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10)  Bus: M2, 3, 147 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD,AMANIEL,CALLE,29,MADRID,MADRID,28015,UNIVERSIDAD,CENTRO,439922,4475646,40.42740213531285,-3.70955095379701,917 588 379, 
2067,Museo Africano Mundo Negro,"Situado en los locales de los Misioneros de Madrid y abierto al público en 1985, se propone divulgar la cultura africana, promoviendo el conocimiento de la vida, de la historia y de las diversas culturas africanas. ","   Grupos con cita previa : de lunes a sábado   Particulares  (visitas guiadas): domingos a las 11,30 horas   Cerrado : julio, agosto y septiembre  ","Bus: 11, 70, 114, 115, 122, 200",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6ab8ef4d7f71c010VgnVCM1000000b205a0aRCRD,ARTURO SORIA,CALLE,101,MADRID,MADRID,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,444864,4478056,40.449455579055886,-3.651503432956766,914 152 412, 
2050,Museo Arqueológico Nacional, Construído en 1866 según proyectos de Jareño y Alarcón y terminado por Ruiz de Salces. Ocupa el mismo edificio que la Biblioteca Nacional. De estilo neoclásico. ,"  De martes a sábados de 9:30 a 20 horas  Domingos y festivos de 9:30 a 15 horas     Cerrado    Todos los lunes del año.  1 y 6 de enero, 1de mayo y 24, 25 y 31 de diciembre    Horario de cierre de las taquillas: 15 minutos antes del cierre del Museo.  En caso de que el aforo esté completo, el Museo podrá cerrar el acceso con anterioridad, lo que se comunicará in situ a los visitantes. "," Metro: Serrano (línea 4), Colón (línea 4), Velázquez (línea 4)  Bus: 1, 2, 5, 9, 14, 15, 19, 20, 21, 27, 28, 37, 45, 51, 52, 53, 74, 146, 150, 203  Renfe: Recoletos (línea C-1, C-2, C-7, C-8 y C-10) ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8fd8ef4d7f71c010VgnVCM1000000b205a0aRCRD,SERRANO,CALLE,13,MADRID,MADRID,28001,RECOLETOS,SALAMANCA,441711,4475173,40.42326842040792,-3.6884539762461968,"915 777 912                                                            
                                                                            
", 
