PK;NOMBRE;ACCESIBILIDAD;NOMBRE-VIA;CLASE-VIAL;NUM;CODIGO-POSTAL;BARRIO;
7827523;Alicia Koplowitz Centro de Día y Residencial de Esclerosis Múltiple de la Comunidad de Madrid;0;JOSE PRAT;BULEVAR;40;28032;CASCO H.VICALVARO; 
133823;Centro de Día Funprodami;0;GARCIA MIRANDA;CALLE;4;28018;SAN DIEGO; 
77520;Centro de día para discapacitados físicos Argüelles;0;ANDRES MELLADO;CALLE;31;28015;GAZTAMBIDE; 
29839;Centro de Día para Personas con Discapacidad Intelectual Navas de Tolosa;1;BENIMAMET;CALLE;109;28021;SAN CRISTOBAL; 
7192500;Centro de día y ocupacional Fundación Juan XXIII;0;GRAN VIA DEL ESTE;AVENIDA;1;28032;CASCO H.VICALVARO; 
51238;Centro de Día y ocupacional para discapacitados intelectuales Pardo Valcarce;0;MONASTERIO DE LAS HUELGAS;CALLE;15;28049;MIRASIERRA; 
7191610;Centro de día y ocupacional para personas con discapacidad intelectual Afade;0;RAFAEL ALBERTI;AVENIDA;4;28038;PALOMERAS SURESTE; 
1143;Centro de día y ocupacional para personas con discapacidad intelectual Manos Tendidas;0;RICARDO DAMAS;CALLE;3;28045;LEGAZPI; 
133636;Centro de día y residencia para personas con discapacidad intelectual Dos de Mayo;0;OÑA;CALLE;1;28050;VALDEFUENTES; 
133640;Centro de día y residencia para personas con discapacidad intelectual Mirasierra;0;LA MASO;CALLE;40;28034;MIRASIERRA; 
1417;Centro de día y residencial de Atención al Paralítico Cerebral (ATENPACE);0;ISLAS MARQUESAS;CALLE;27;28035;PEÑA GRANDE; 
7190893;Centro de día, ocupacional y residencia 3 Olivos para personas con discapacidad intelectual de la Fundación Síndrome de Down;0;CUEVA DE MONTESINOS;CALLE;45;28034;VALVERDE; 
7191698;Centro de día, ocupacional y residencia Ande Punto;0;RAFAELA YBARRA;AVENIDA;75;28026;PRADOLONGO; 
39745;Centro de día, ocupacional y residencia para personas con discapacidad intelectual Götze;0;CASTILLA;CARRETERA;KM 5;28040;ARAVACA; 
133674;Centro de día, ocupacional y residencia para personas con discapacidad intelectual San Vicente;0;RAFAELA YBARRA;AVENIDA;75;28026;PRADOLONGO; 
133523;Centro de día, ocupacional y residencia para personas con discapacidad intelectual Ángel de la Guarda;0;DAROCA;AVENIDA;60;28017;VENTAS; 
7190391;Centro de día, Residencia y Centro ocupacional para personas con discapacidad intelectual Fundación Betesda;0;GRAN VIA DE HORTALEZA;AVENIDA;27;28043;PINAR DEL REY; 
35004;Centro de Recuperación de  Personas con Discapacidad Física (CRMF) de Madrid;0;VALDERRIBAS;CAMINO;113;28038;NUMANCIA; 
2022;Centro de Referencia Estatal de Autonomía Personal y Ayudas Técnicas (CEAPAT);0;EXTREMEÑOS;CALLE;1;28018;PALOMERAS SURESTE; 
179797;Centro ocupacional Afanias las Victorias;0;FRAY JUNIPERO SERRA;CALLE;27;28039;VALDEACEDERAS; 
7192542;Centro ocupacional Fundación Prodis para personas con discapacidad intelectual;0;INDALECIO PRIETO;BULEVAR;2;28032;CASCO H.VICALVARO; 
7827408;Centro ocupacional Jardines de España;0;BURGOS;AVENIDA;85;28050;VALVERDE; 
7827509;Centro ocupacional Nuestra Señora del Camino III, C.O.;0;NUEVA CALEDONIA;CALLE;14;28035;CIUDAD UNIVERSITARIA; 
11941;Centro ocupacional para discapacitados intelectuales San Pedro Apostol;0;JUBILADO;PLAZA;7;28042;CASCO H.BARAJAS; 
133522;Centro ocupacional para personas con discapaciad intelectual Ciudad Lineal;0;JOSEFA VALCARCEL;CALLE;1;28027;SAN PASCUAL; 
11917;Centro ocupacional para personas con discapacidad intelectual Aluche;0;RAFAEL FINAT;CALLE;48;28044;LAS AGUILAS; 
35013;Centro ocupacional para personas con discapacidad intelectual Amanecer;0;MATILDE DIEZ;CALLE;8;28002;CIUDAD JARDIN; 
133713;Centro ocupacional para personas con discapacidad intelectual Estar 5. Calle Camino Hormigueras;0;HORMIGUERAS;CAMINO;122;28031;CASCO H.VALLECAS; 
133712;Centro Ocupacional para personas con discapacidad intelectual Estar. Calle Los Yébenes;0;LOS YEBENES;CALLE;241;28047;ALUCHE; 
7191581;Centro ocupacional para personas con discapacidad intelectual I.S.F.A.S.;0;VENTA DE LA RUBIA;CARRETERA;1;0;; 
133490;Centro ocupacional para personas con discapacidad intelectual Juan de Austria;0;ARTURO SORIA;CALLE;12;28027;QUINTANA; 
11937;Centro ocupacional para personas con discapacidad intelectual Nazaret;0;MANOTERAS;AVENIDA;1;28050;VALDEFUENTES; 
56940;Centro ocupacional para personas con discapacidad intelectual Pintor Rosales;0;MARQUES DE URQUIJO;CALLE;47;28008;ARGUELLES; 
29854;Centro Ocupacional para Personas con Discapacidad Intelectual Villaverde;1;BASCUÑUELOS;CALLE;1;28021;SAN ANDRES; 
11942;Centro ocupacional personas con discapacidad intelectual Fundación Aprocor II;0;FROMISTA;CALLE;13;28050;VALVERDE; 
7827380;Centro ocupacional San Fernando;0;CRISTO DE LA VICTORIA;CALLE;1;28026;ALMENDRALES; 
133488;Centro ocupacional y residencia Carabanchel;0;GENERAL RICARDOS;CALLE;177;28025;PUERTA BONITA; 
11928;Centro ocupacional y residencia para discapacitados intelectuales Nuestra Señora del Camino;0;COLLADO DE TIROBARRA;CALLE;4;28034;MIRASIERRA; 
133361;Centro ocupacional y residencia para personas con discapacidad intelectual Barajas;0;ZAOREJAS;CALLE;3;28042;AEROPUERTO; 
7191232;Centro ocupacional Ángeles Urbanos Hortaleza para personas con discapacidad intelectual;0;JOSE ALVAREZ DE TOLEDO;CALLE;6;28043;PIOVERA; 
7827516;Estudios Asura Residencia para Discapacitados;0;ASURA;CALLE;74;28043;PIOVERA; 
7828344;Estudios Sobradiel Residencia para personas con discapacidad;0;SOBRADIEL;RONDA;83;28043;PIOVERA; 
6858752;Federación Autismo Madrid;1;MORALZARZAL;CALLE;55;28034;MIRASIERRA; 
133438;Fundación, centro ocupacional y residencia Alas Moratalaz;0;ENCOMIENDA DE PALACIOS;CALLE;235;28030;PAVONES; 
12168;Hospital Fundación Instituto San José;1;PINAR DE SAN JOSE;CALLE;98;28054;CUATRO VIENTOS; 
7827714;Residencia Medinaceli Ramírez Tomé;0;RAMIREZ TOME;CALLE;38;28038;PORTAZGO; 
11919;Residencia para personas con discapacidad física de la Confederación Estatal de Minusválidos Físicos de España COCEMFE;0;EUGENIO SALAZAR;CALLE;2;28002;PROSPERIDAD; 
108506;Residencia para personas con discapacidad intelectual La Peineta Cepri;0;ZURICH;CALLE;41;28022;ROSAS; 
6818168;Residencia para personas con discapacidad intelectual no grave Belisana;0;BELISANA;CALLE;22;28043;CANILLAS; 
35179;Residencia para personas con discapacidad intelectual San Martín de Porres;0;WALMAN;CALLE;17;28023;EL PLANTIO; 
39623;Residencia y centro cupacional para personas con discapacidad intelectual Afanias Canillejas;0;CANILLEJAS A VICALVARO;AVENIDA;28;28022;SIMANCAS; 
4849820;Residencia y Centro de Día para personas con discapacidad intelectual El Despertar;0;ADONIS;CALLE;1;28024;LAS AGUILAS; 
133475;Residencia y centro ocupacional para personas con discapacidad intelectual Casa Santa Teresa;0;PONIENTE;CALLE;10;28036;CASTILLA; 
4852632;Residencia, centro de día y ocupacional para personas con discapacidad intelectual Fundacion San José;0;PINAR DE SAN JOSE;CALLE;98;28054;CUATRO VIENTOS; 
35067;Residencia, centro ocupacional y centro de día para personas con discapacidad intelectual Doctor Quintero Lumbreras;0;COLMENAR VIEJO;CARRETERA;13.600;0;; 
34541;Taller centro ocupacional para personas con discapacidad intelectual Aprocor I;0;ESTEBAN PALACIOS;CALLE;12;28043;PIOVERA; 
7193047;Taller ocupacional II Ademo para personas con discapacidad intelectual;0;CAMINO DE LOS VINATEROS;CALLE;59;28030;MEDIA LEGUA; 
