PK;NOMBRE;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;EMAIL;TIPO
1757;Biblioteca Pública Municipal Aluche (Latina); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro : Laguna, Casa de Campo, Aluche  RENFE:  Laguna, Aluche   Bus : 25, 31, 138;   Superficie:  712 metros cuadrados   Puestos de lectura:  130   Puestos de Internet:  18   Bibliotecarios:    ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7f0e3d0b5e71c010VgnVCM1000000b205a0aRCRD;CAMARENA;CALLE;V;10;MADRID;MADRID;28047;ALUCHE;LATINA;435929;4472190;40.39597072367931;-3.7562716852987847;91 719 89 96;bpaluche@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1755;Biblioteca Pública Municipal Ana María Matute (Carabanchel); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de consulta y lectura; Salas de trabajo en grupo; Sala de actividades; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro : Marqués de Vadillo  Bus:  34, 35, 108, 118, 119 y N7;   Superficie:  3.369 metros cuadrados   Puestos de lectura:  200   Puestos de Internet:  44   Bibliotecarios:    ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD;DE LOS COMUNEROS DE CASTILLA;CALLE;V;30;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;438946;4472344;40.3975850662447;-3.7207386328562357;"91 588 08 30                                                                                                                                               
";bpanammatute@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
5768564;Biblioteca Pública Municipal Angel González (Latina);" De lunes a viernes de 8:30 a 21 horas; sábados de 9 a 18 horas y domingos de 9 a 14 horas. Los festivos y los fines de semana de agosto, la biblioteca permanecerá cerrada. ";" Accesible a personas con discapacidad física.   Espacios:  Sala de Consulta y Lectura; Sala de actividades; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Campamento   Bus:  25, 36, 39, 65, 121, 131, 138, H;   Superficie:  2.811 metros cuadrados   Puestos de lectura:  182   Puestos de Internet:  29   Bibliotecarios:  María Sierra Gómez-Díaz (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD;GRANJA DE TORREHERMOSA;CALLE;V;1;MADRID;MADRID;28024;ALUCHE;LATINA;435063;4472320;40.397074625115906;-3.7664885474841556;91 512 35 42;bpangelgonzalez@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1762;Biblioteca Pública Municipal Buenavista (Salamanca); De lunes a viernes de 9 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Diego de León, Manuel Becerra  Bus:  1, 43, 48, 56, 74, Circular;   Superficie:  371 metros cuadrados   Puestos de lectura:  76   Puestos de Internet:  15  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c53e3d0b5e71c010VgnVCM1000000b205a0aRCRD;TOREROS;AVENIDA;V;5;MADRID;MADRID;28028;GUINDALERA;SALAMANCA;443202;4476130;40.43199309720514;-3.670929243543714;91 724 08 04;bpbuenavista@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1745;Biblioteca Pública Municipal Canillejas (San Blas-Canillejas); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;"  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Canillejas, Torre Arias (Línea 5).  Bus:  77, 105, 140;   Superficie:  466 metros cuadrados   Puestos de lectura:  98   Puestos de Internet:  6   Bibliotecarios:  María Rosario Cabezuelo Jiménez (directora)  ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD;BOLTAÑA;CALLE;NUM;23;MADRID;MADRID;28022;CANILLEJAS;SAN BLAS-CANILLEJAS;448229;4477693;40.44640229188281;-3.6117933204271098;91 741 11 34;bpcanillejas@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1794;Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.   Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Ciudad Lineal   Bus : 4, 38, 48, 70, 77, 105, 109;   Superficie:  483 metros cuadrados   Puestos de lectura:  112   Puestos de Internet:  10   Bibliotecarios:    ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82ce995a8bf5d010VgnVCM2000000c205a0aRCRD;HERMANOS GARCIA NOBLEJAS;CALLE;V;14;MADRID;MADRID;28037;PUEBLO NUEVO;CIUDAD LINEAL;446054;4476600;40.43641736294729;-3.637346971302506;915 887 566;bpciudadlineal@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1882;Biblioteca Pública Municipal Conde Duque (Centro); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.   Espacios:  Sala de Consulta y Lectura; Préstamo de libros, CDs, CD-Rom y DVD; Zona de publicaciones periódicas.  Servicios:  Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Sala infantil; Reprografía. "; Metro:  Ventura Rodríguez, Plaza de España, San Bernardo y Noviciado.  Bus : 1, 2, 7, 21, 44, 74, 147, Circular, Minibús M-2;   Superficie:  5.870 metros cuadrados   Puestos de lectura:  227   Puestos de Internet:  26   Bibliotecarios : María Teresa Artigas Cano de Santayana (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD;CONDE DUQUE;CALLE;V;9;MADRID;MADRID;28015;UNIVERSIDAD;CENTRO;439833;4475645;40.42738668300474;-3.7105999955473625;91 480 14 39;bpcondeduque@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
51188;Biblioteca Pública Municipal Dámaso Alonso (Chamartín); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Plaza de Castilla , Duque de Pastrana   Bus:  70, 107, 129, 174;   Superficie:  808 metros cuadrados   Puestos de lectura:  129   Puestos de Internet:  8   Bibliotecarios:  Carmen Manzano Guadaño (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD;MANUEL FERRERO;CALLE;V;1;MADRID;MADRID;28036;CASTILLA;CHAMARTIN;442072;4480075;40.467453379213175;-3.6846112774442705;91 350 31 50;bpdamasoalonso@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
6893633;Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro;" De lunes a viernes de 8:30 a 21 horas; sábados de 9 a 18 horas y domingos de 9 a 14 horas. Los festivos y los fines de semana de agosto, la biblioteca permanecerá cerrada. ";" Accesible a personas con discapacidad física.  Espacios:  Sala de consulta y lectura; Salas de trabajo en grupo; Sala polivalente; Sala de publicaciones periódicas; Sala infantil; Sala de prelectores; Sala juvenil; Sala especializada en medio ambiente.   Servicios:  Préstamo de libros, multimedia y revistas; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Ibiza  Bus:  20, 26, 63, 152 y Circular;   Superficie:  3.794 metros cuadrados   Puestos de lectura:  185   Puestos de Internet:  39   Bibliotecarios:  Estela Gonzalo Muñoz (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD;FERNAN NUÑEZ;PASEO;V;24;MADRID;MADRID;28009;LOS JERONIMOS;RETIRO;442454;4474428;40.4166091081099;-3.6795930368034804;91 480 48 38;bpeugeniotrias@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
167128;Biblioteca Pública Municipal Francisco Ayala (Vicálvaro); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.   Espacios : Sala de Consulta y Lectura; Préstamo de libros, multimedia y publicaciones periódicas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Telelupa; Zona de publicaciones periódicas.   Servicios :  Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuario; Sala infantil y juvenil; Reprografía. "; Metro:  Valdebernardo   Bus:  8, 71, 130;   Superficie:  1.600 metros cuadrados   Puestos de lectura:  205   Puestos de Internet:  11   Bibliotecarios:  Fernando Millán Sánchez (director)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f05279262ef5d010VgnVCM1000000b205a0aRCRD;INDALECIO PRIETO;BULEVAR;V;21;MADRID;MADRID;28032;VALDEBERNARDO;VICALVARO;447388;4472529;40.39982891410407;-3.621281890570377;91 301 64 66;bpfranciscoayala@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
