"Año","Comunidad autónoma","Provincia","Origen de la denuncia","Número de denuncias por violencia de género"
"Año 2009","Andalucía","Almería","Presentada directamente por victima","53.0"
"Año 2009","Andalucía","Almería","Presentada directamente por familiares","1.0"
"Año 2009","Andalucía","Almería","Atestados policiales - con denuncia victima","1561.0"
"Año 2009","Andalucía","Almería","Atestados policiales - con denuncia familiar","97.0"
"Año 2009","Andalucía","Almería","Atestados policiales - por intervención directa policial","313.0"
"Año 2009","Andalucía","Almería","Parte de lesiones","568.0"
"Año 2009","Andalucía","Almería","Servicios asistencia-Terceros  en general","11.0"
"Año 2009","Andalucía","Cádiz","Presentada directamente por victima","431.0"
"Año 2009","Andalucía","Cádiz","Presentada directamente por familiares","37.0"
"Año 2009","Andalucía","Cádiz","Atestados policiales - con denuncia victima","2515.0"
"Año 2009","Andalucía","Cádiz","Atestados policiales - con denuncia familiar","78.0"
"Año 2009","Andalucía","Cádiz","Atestados policiales - por intervención directa policial","251.0"
"Año 2009","Andalucía","Cádiz","Parte de lesiones","373.0"
"Año 2009","Andalucía","Cádiz","Servicios asistencia-Terceros  en general","8.0"
"Año 2009","Andalucía","Córdoba","Presentada directamente por victima","38.0"
"Año 2009","Andalucía","Córdoba","Presentada directamente por familiares","3.0"
"Año 2009","Andalucía","Córdoba","Atestados policiales - con denuncia victima","1113.0"
"Año 2009","Andalucía","Córdoba","Atestados policiales - con denuncia familiar","18.0"
"Año 2009","Andalucía","Córdoba","Atestados policiales - por intervención directa policial","52.0"
"Año 2009","Andalucía","Córdoba","Parte de lesiones","110.0"
"Año 2009","Andalucía","Córdoba","Servicios asistencia-Terceros  en general","1.0"
"Año 2009","Andalucía","Granada","Presentada directamente por victima","253.0"
"Año 2009","Andalucía","Granada","Presentada directamente por familiares","6.0"
"Año 2009","Andalucía","Granada","Atestados policiales - con denuncia victima","2886.0"
"Año 2009","Andalucía","Granada","Atestados policiales - con denuncia familiar","26.0"
"Año 2009","Andalucía","Granada","Atestados policiales - por intervención directa policial","68.0"
"Año 2009","Andalucía","Granada","Parte de lesiones","635.0"
"Año 2009","Andalucía","Granada","Servicios asistencia-Terceros  en general","14.0"
"Año 2009","Andalucía","Huelva","Presentada directamente por victima","52.0"
"Año 2009","Andalucía","Huelva","Presentada directamente por familiares","4.0"
"Año 2009","Andalucía","Huelva","Atestados policiales - con denuncia victima","1549.0"
"Año 2009","Andalucía","Huelva","Atestados policiales - con denuncia familiar","0.0"
"Año 2009","Andalucía","Huelva","Atestados policiales - por intervención directa policial","82.0"
"Año 2009","Andalucía","Huelva","Parte de lesiones","416.0"
"Año 2009","Andalucía","Huelva","Servicios asistencia-Terceros  en general","0.0"
"Año 2009","Andalucía","Jaén","Presentada directamente por victima","95.0"
"Año 2009","Andalucía","Jaén","Presentada directamente por familiares","5.0"
"Año 2009","Andalucía","Jaén","Atestados policiales - con denuncia victima","1132.0"
"Año 2009","Andalucía","Jaén","Atestados policiales - con denuncia familiar","23.0"
"Año 2009","Andalucía","Jaén","Atestados policiales - por intervención directa policial","153.0"
"Año 2009","Andalucía","Jaén","Parte de lesiones","210.0"
"Año 2009","Andalucía","Jaén","Servicios asistencia-Terceros  en general","16.0"
"Año 2009","Andalucía","Málaga","Presentada directamente por victima","287.0"
"Año 2009","Andalucía","Málaga","Presentada directamente por familiares","16.0"
"Año 2009","Andalucía","Málaga","Atestados policiales - con denuncia victima","2705.0"
"Año 2009","Andalucía","Málaga","Atestados policiales - con denuncia familiar","87.0"
