NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;NOMBRE-VIA;CLASE-VIAL;NUM;CODIGO-POSTAL;DISTRITO;LATITUD;LONGITUD;TELEFONO;TIPO
Arte Público (Museo al Aire Libre de la Castellana);;;; Metro: Rubén Darío (línea 5)  Bus: 5, 14, 27, 45, 150 ;CASTELLANA;PASEO;40;28046;SALAMANCA;40.433.219.398.671.100;-36.876.122.680.805.900;;Monumento
Banco de España; El Banco de España es el banco central nacional y el supervisor del sistema bancario español. Su actividad está regulada por la Ley de Autonomía del Banco de España. ;;; Metro: Banco de España (línea 2)  Bus: 1, 2, 9, 10, 15, 20, 34, 51, 52, 53, 74, 146, 202, 203 ;ALCALA;CALLE;48;28014;CENTRO;404.188.339.187.439;-369.482.107.480.432;913 385 000 (centralita);Monumento
Basílica Pontificia de San Miguel;;;; Metro: Ópera (líneas 2 y 5), Puerta del Sol (líneas 1, 2 y 3), Tirso de Molina (línea 1), La Latina (línea 5)  Renfe: Puerta del Sol (líneas 3 y 4)  Bus: 31, 50, 65 ;SAN JUSTO;CALLE;4;28005;CENTRO;40.414.203.159.177.600;-37.096.715.906.562.700;915 484 011;Monumento
Biblioteca Nacional de España; Fundada por Felipe  V  en 1712 como Biblioteca Pública de Palacio. En 1836 dejó de ser propiedad de la Corona y pasó a depender del Ministerio de la Gobernación y recibió por primera vez el nombre de Biblioteca Nacional y en 1896 se abrió al público.   Horario     Salas de lectura y Servicios:    De lunes a viernes de 9 a 21 y sábados de 9 a 14 horas.  La petición de fondos en el Salón General y en la Sala de Prensa y Revistas es de 9:30 a 13:30 y de 15 a 19 horas.  La tramitación presencial de carnés es de lunes a viernes de 9 a 19 y sábados de 9 a 13:45 horas.     Exposiciones y Museo:    De martes a sábado de 10 a 20 horas.  Domingos y festivos de 10 a 14 horas.      Calendario cierre:    Exposiciones y museo: días 1, 6 de enero, 1 de mayo, 10 de noviembre y 8, 24, 25 y 31 de diciembre.   Biblioteca: 1, 6 y de 20 al 25 de enero, del 17 al 19 de abril, 1, 2 y 15 de mayo, 19 de junio, 15 de agosto, 1 y 10 de noviembre, 6, 8, 24, 25 y 31 de diciembre.    ;;  Servicios bibliotecarios:    Orientación e información general sobre la institución y sobre otras bibliotecas.  Información bibliográfica sobre su colección y las de otras bibliotecas o sistemas bibliotecarios.  Acceso a su catálogo automatizado.  Consulta en sala de sus fondos.  Préstamo interbibliotecario.  Reproducción de fondos.     Otros servicios a los lectores:    Sala de exposiciones.  Museo.  Préstamo interbibliotecario.  Oficina de reprografía.  Registro.  Tienda.     Salas:    Salón general de lectura.  Sala de prensa y revistas  Sala Cervantes: manuscritos, incunables e impresos reservados.  Sala Goya: bellas artes y cartografía.  Sala Barbieri: música.  ;;RECOLETOS;PASEO;20;28001;SALAMANCA;4.042.299.290.045.960;-3.690.844.141.741.060;"915 807 800                                                                                      
                                                                                      
";Monumento
Bolsa de Madrid; Es el principal mercado de valores de España. Tiene su sede en el Palacio de la Bolsa de Madrid. ;;  Información sobre títulos admitidos a cotización en materia de pago de dividendos   Ampliaciones de capital  Datos sobre balances y cuentas de resultados de las empresas cotizantes   Boletines diarios  ; Metro: Banco de España (línea 2)  Bus: 1, 2, 5, 9, 10, 15, 20, 34 ;LEALTAD;PLAZA;1;28014;RETIRO;4.041.687.675.488.160;-3.692.184.230.357.610;"917 095 000 (Bolsas y mercados españoles, centralita)     
915 891 162 / 915 891 020 (Visitas)          
915 891 659 (Atención al inversor)   
";Monumento
Casa de América; Antiguo Palacio de Linares, diseñado por Carlos Colubí en 1872. De estilo rococó, destaca la escalera de mármol de Manuel Aníbal Álvarez y toda la decoración interior. ;;  Celebración de actividades culturales: conciertos, conferencias, mesas redondas, actividades infantiles, exposiciones  Sala de exposiciones  Anfiteatro  Centro de información y documentación  Cine  Restauración   Restaurante Le Cabrera Casa de América, abierto todos los días de 13:30 a 15:30 y de 20:30 a 00 horas. Dispone de reservado.  Coctelería Le Cabrerita ,  abierta de lunes a domingo de 13:30 a 2 horas. Acceso por Paseo de Recoletos, 2.  Cafetería Le Cabrera Casa de América, abierta de lunes a domingo de 9 a 12 horas. Acceso por Marqués del Duero.  Terraza de verano.     La programación puede ser consultada en  http://www.casamerica.es/  ; Metro: Banco de España (línea 2)  Bus: 1, 2, 5, 9, 10, 14, 15, 20, 27, 34, 37, 45, 51, 52, 53, 74, 146, 150, 202  Renfe: Recoletos ;CIBELES;PLAZA;4;28014;SALAMANCA;40.419.749.969.504.000;-36.922.961.903.054.300;915 954 800 (información) / 915 775 955 (reservas para el restaurante);Monumento
Casa de Cisneros; Es uno de los pocos palacios renacentistas del siglo XVI conservados en Madrid, aunque con muchas modificaciones. ;;; Metro: Sol (líneas 1, 2, 3), Ópera (líneas R, 2, 5)  Bus: 3, 5, 20, 25, 33, 39, 50, 51, 52, 53, 150 ;VILLA;PLAZA;4;28005;CENTRO;4.041.490.075.227.330;-37.105.039.839.947.300;;Monumento
Casa de La Panadería;Iniciada por Antonio Sillero en 1590 para el gremio del pan, será acabada y transformada en 1617 por Gómez de Mora al integrarla en el conjunto de la Plaza Mayor. La planta baja era completamente libre permitiendo el paso entre la calle Mayor y la Plaza. A finales del siglo  XVIII   Juan de Villanueva la restauró tras el incendio de la plaza en 1672. Es de destacar el balcón y Escudo Real de la fachada, así como sus pinturas.;;; Metro: Sol (líneas 1, 2, 3)  Bus: 3, 5, 15, 17, 18, 20, 23, 31, 35, 50, 51, 52, 53, 65, 150  Renfe: Sol (líneas 3, 4) ;MAYOR;PLAZA;27;28012;CENTRO;4.041.583.855.082.180;-37.074.257.084.323.600;;Monumento
Casa de La Villa. Casas Consistoriales del Ayuntamiento de Madrid; Sede del Ayuntamiento de Madrid desde el año 2007 ;;; Metro: Sol (líneas 1, 2, 3), Ópera (líneas R, 2, 5)  Bus: 3, 5, 20, 25, 33, 39, 50, 51, 52, 53, 150 ;VILLA;PLAZA;5;28005;CENTRO;4.041.518.829.867.040;-37.106.248.754.622.500;;Monumento
Casa de Las Siete Chimeneas; Casa palacio construida en 1577 por Antonio Sillero. Ha sufrido numerosas reformas, siendo las más destacadas las del siglo XIX, a cargo de Agustín Ortiz de Villajos y Antonio Capó. Posteriormente ha sido reformada por Chueca Goitia y Domínguez Salazar. Destaca por las chimeneas que coronan el tejado. Es un ejemplo de la arquitectura doméstica del siglo XV.  En la actualidad están ubicadas dependencias del Ministerio de Cultura. ;;; Metro: Banco de España (línea 2)  Bus: 1, 2, 5, 9, 10, 14, 15, 20, 27, 34, 37, 45, 46, 51, 52, 53, 74, 146, 150, 202, M2,  Renfe: Recoletos ;REY;PLAZA;1;28004;CENTRO;4.042.020.264.263.880;-36.964.264.776.282.300;;Monumento
