NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;NOMBRE-VIA;CLASE-VIAL;NUM;CODIGO-POSTAL;DISTRITO;LATITUD;LONGITUD;TELEFONO;TIPO
Arte Público (Museo al Aire Libre de la Castellana);;;; Metro: Rubén Darío (línea 5)  Bus: 5, 14, 27, 45, 150 ;CASTELLANA;PASEO;40;28046;SALAMANCA;40.433.219.398.671.100;-36.876.122.680.805.900;;Museo
Casa - Museo del Ratoncito Pérez; La residencia de la familia Pérez está  situada en los sótanos de la confitería Prasi,  en el número ocho de la calle del Arenal, según cita Luis Coloma. ;  Lunes  de 17 a 20 horas.  De martes a viernes de 11 a 14 horas y de 17 a 20 horas.  Sábados de 11 a 15 horas y de 16 a 20 horas.  Domingos y festivos de 12 a 15 horas y de 16 a 19 horas.  Horario orientativo, consultar disponiblidad en la web del Museo.    ;; Metro: Sol (líneas: 1, 2 y 3)  Bus: 3, 50 ;ARENAL;CALLE;8;28013;CENTRO;4.041.704.834.412.290;-37.055.288.844.865.200;915 226 968;Museo
Casa Museo Lope de Vega;"&quot;Mi casilla, mi quietud, mi g&uuml;ertecillo y estudio&quot;. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 años. La recreación de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliográficas vinculadas al literato y su tiempo. "; Para la visita es  imprescindible reserva anticipada  en:  casamuseolopedevega@madrid.org  o en el teléfono: 914 299 216, en horario del museo   De martes a domingo de 10 a 18 horas.   Cerrado los lunes, días 1 y 6 de enero, 1 y 15 de mayo y 24, 25 y 31 de diciembre   Este horario puede sufrir alteraciones por actividades extraordinarias que se celebran en este espacio. ;; Metro: Antón Martín (línea 1)   Bus: 6, 9, 10, 14, 26, 27, 32, 34, 37, 45, 57 ;CERVANTES;CALLE;11;28014;CENTRO;40.414.358.466.555.200;-36.974.741.545.860.000;914 299 216;Museo
Castillo de la Alameda;"El edificio está incorporado al sistema &quot;museosdemadrid&quot; donde se realizan talleres para escolares y actividades en verano.";  Abierto fines de semana y festivos (incluso los lunes festivos)  De abril a septiembre: sábados, domingos y festivos de 10 a 21 horas  De octubre a marzo: sábados, domingos y festivos de 10 a 18 horas  Cerrado: 24, 25, 31 de diciembre, 1 de enero, 6 de enero, 1 de mayo.  ;  Accesibilidad    Rampas de acceso  Servicios para minusválidos  Información en Braille para invidentes  ; Metro: Alameda de Osuna (línea 5), El Capricho (línea 5)  Autobuses: 101, 105, 112, 114, 115 y 151 ;ANTONIO SANCHA;CALLE;1;28042;BARAJAS;4.045.835.460.563.490;-35.932.903.820.278.700;"913 667 415                                                                   
";Museo
Casón del Buen Retiro; Edificio que forma parte del Museo Nacional del Prado, donde pueden consultarse fondos de la Biblioteca, del Archivo y del Servicio de Documentación de la colección del Museo y de otras fuentes relativas a la historia del arte. ;  Mañanas    De lunes a jueves, de 9 a 15 horas. (Servicio de libros y otros materiales hasta las 14:30 horas)   Viernes, de 9 a 14:30 horas. (Servicio de libros y otros materiales hasta las 14 horas)     Tardes.  Lunes y miércoles, de 15 a 18 horas. (Servicio de libros y otros materiales hasta las 17:30 horas)   Horario de verano     Desde el 16 de junio al 15 de septiembre  Lunes a viernes, de 9 a 14:30 horas   ;; Metro: Atocha (Línea 1)  Bus: 19, 10, 14, 27, 34, 37, 45  Renfe: Atocha ;ALFONSO XII;CALLE;28;28014;RETIRO;40.415.263.749.471.500;-3.689.232.811.717.630;902 107 077;Museo
Centro Social y Cultural la Casa Encendida; Edificio de carácter monumental. De estilo neomudéjar, fue diseñado por el arquitecto Fernando Arbós e inaugurado en el año 1913. Cuenta con más de 6.000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea. ;  De lunes a domingo de 10 a 22 horas (todos los días del año, excepto festividades nacionales y de la Comunidad de Madrid)  Exposiciones: de 10 a 21:45 horas  ;   Biblioteca  (consulta catálogo  http://catalogo.bibliotecas.obrasocialcajamadrid.es/ )   Sala de consulta y Hemeroteca: de lunes a domingos, de 10 a 21:15 horas  Mediateca y Sala de trabajo Ofimática: de lunes a domingos, de 10 a 21:15 horas  Biblioteca joven: de lunes a viernes, de 10 a 20:30, sábados y domingos de 10 a 13:30  Bebeteca: sábados y domingos de 10 a 13:30 horas     Estudio multimedia : cuenta con equipos profesionales para la edición de video con Final Cut Studio, Premiere, etc. Su uso tendrá un precio de cinco a ocho euros por turno de cinco horas dependiendo del tipo de asistencia técnica.   Laboratorio de radio:  dispone de un equipo completo de grabación y equipamiento profesional. Su uso tendrá un precio de diez euros por turnos de cinco horas.   Laboratorio fotográfico    Tienda solidaria:  consultar horario   Cafetería:  todos los días, excepto festivos, de 10 a 21:45 horas  ; Metro: Embajadores (línea 3), Lavapies (línea 3), Atocha (línea 1)   Bus: 27, 34, 36, 41, 68, 69, 119   Renfe: Embajadores ;VALENCIA;RONDA;2;28012;CENTRO;4.040.595.710.517.700;-3.699.779.793.558.760;"902 430 322                                              
";Museo
Ermita de San Antonio de la Florida (Museo); Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se trasladó el culto a una ermita gemela construida a su lado, dejando el edificio original como museo. ;  De martes a domingos y festivos de 9:30 a 20 horas.   Cerrado  los lunes, incluidos festivos, y los días 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre.   Último pase de visita:  20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes)   Por motivos de conservación, el aforo máximo es de 50 personas en el interior de la capilla.  Los sábados que se celebren Visitas animadas para familias se interrumpirá la visita durante el desarrollo de las mismas.  Este horario y la apertura de salas pueden sufrir modificaciones, por favor, confírmelo en el teléfono de información del museo.  ; Tienda, en la que se pueden adquirir las guías y publicaciones sobre la ermita editadas por el Museo y otros organismos públicos, así como catálogos y publicaciones de instituciones culturales del Ayuntamiento de Madrid. ; Metro: Príncipe Pío (líneas 5, 10 y ramal Ópera - Príncipe Pío)  Bus: 41, 46 y 75 (Intercambiador Príncipe Pío)  Renfe: Príncipe Pío ;SAN ANTONIO DE LA FLORIDA;GLORIETA;5;28008;MONCLOA-ARAVACA;40.425.256.682.855.800;-3.725.725.718.176.110;"915 420 722 / 917 011 863                                                                                                                              
";Museo
Espacio Fundación Telefónica;; De martes a domingo, de 10 a 20 horas.  Cerrado al público todos los lunes y los festivos, día 25 de diciembre y días 1 y 6 de enero. ;  Accesos y espacios habilitados para personas con movilidad reducida, aseos adaptados y con cambiador de pañales, ascensor, zonas de descanso y silla de ruedas para uso en las salas.  Tabletas con guía multimedia de las exposiciones, disponibles en el mostrador de información.  Conexión WIFI.  ; Metro: Gran Vía (líneas 1, 5)  Bus: 1, 2, 46, 74, 146, 202 ;FUENCARRAL;CALLE;3;28004;CENTRO;4.042.041.458.612.880;-37.016.034.186.955.000;915 808 700 (información general);Museo
Fundación AMYC (Arte Moderno y Contemporáneo). Casa - Museo Fuente del Rey;; De lunes a viernes de 10 a 19 horas. Sábados y domingos cerrado.   Visitas  guiadas y concertadas con cita previa. ; Siguiendo la iniciativa del mecenazgo de Francisco Daurella, en 2009 decide crear la Fundación  AMYC , para la que recupera, rehabilita y acondicona una casa de uso privado para transformala en Casa - Museo. En sus instalaciones acogerá diferentes salas expositivas y una sala polivalente para actos culturales. El eje principal de la colección de más de 250 obras, es dar una visión muy dinámica de lo sucedido entre fianles del siglo  XIX  y mediados del siglo  XX . ;Bus: 161, I;FUENTE DEL REY;CALLE;11;28023;MONCLOA-ARAVACA;4.045.546.180.290.310;-37.705.836.264.842.500;913 579 116;Museo
Monasterio de las Descalzas Reales; Convento fundado por la Princesa Juana de Austria, transformando un antiguo palacio de su madre Isabel de Portugal. ; Sólo con visita guiada.    De martes a sábado de 10 a 14 horas y de 16 a 18:30 horas  Domingos y festivos, de 10 a 15 horas. Cerrado los lunes  Cierre de taquillas una hora antes  Cerrado:   Enero: días 1, 6.  Abril: del 1 al 4 inclusive, semana santa.  Mayo: día 1.  Diciembre: 24, 25 y 31 de diciembre.    El  7 de diciembre  abierto en horario de mañana y tarde.     Atención telefónica:    De lunes a sábados de 9:30 a 17 horas  Domingos y festivos de 9 a 14 horas  ;; Metro: Callao (líneas 3, 5) , Santo Domingo (línea 2) , Sol (líneas 1, 2, 3) Gran Vía (líneas 1, 5)  Bus: 1, 2, 3, 5, 15, 20, 25, 39, 40, 44, 46, 50, 51, 52, 53, 74, 75, 133, 146, 147, 148, 149, 150, 202 ;DESCALZAS;PLAZA;3;28013;CENTRO;40.418.233.359.889.400;-3.706.213.134.639.160;"914 548 700                                                      
";Museo
