NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;NOMBRE-VIA;CLASE-VIAL;NUM;CODIGO-POSTAL;DISTRITO;LATITUD;LONGITUD;TELEFONO;TIPO
Bululú 2120;;;; Metro: Palos de la Frontera (línea 3)  Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 247  Cercanías: Delicias y Atocha ;CANARIAS;CALLE;16;28045;ARGANZUELA;40.401.958.738.062.300;-36.965.212.526.388.800;913 600 193 (Información y reservas) ; Teatro
Centro de Enseñanza Réplika Teatro. Academia del Actor;;;  Cursos de interpretación y canto  Talleres de teatro para niños  ; Metro: Guzmán el Bueno  (líneas 6, 7)  Bus: 44, 45, 127, C1, C2, F ;PEDRO JUSTO DORADO DELLMANS;CALLE;8;28040;MONCLOA-ARAVACA;40.448.692.123.387.000;-37.122.040.788.250.800;915 350 570; Teatro
Centro de Nuevos Creadores (Sala Mirador); El Centro de Nuevos Creadores cuenta desde el año 1985 con producciones propias y con un espacio de exhibición: El Teatro CNC- Sala Mirador. Este teatro ofrece una programación estable durante todo el año que combina teatro, danza, música, proyecciones audiovisuales y muestras de jóvenes estudiantes.  ; Días de cierre: domingo ;; Metro: Lavapiés (línea 3), Embajadores (línea 3)  Bus: 27, 34, 36, 41, 119, C1, C2, E1, M1  Renfe: Embajadores ;DOCTOR FOURQUET;CALLE;31;28012;CENTRO;4.040.706.148.755.640;-36.989.073.365.849.700;915 289 504; Teatro
DT Espacio Escénico;DT Espacio Escénico es un lugar para exhibir espectáculos con lenguaje escénico mixto y utilización de escenarios no convencionales. Ofrece una programación continuada y varios ciclos de teatro, danza y cabaret;;; Metro: Gran Vía (líneas 1, 3)  Bus: 1, 2, 3, 46, 74, 146, M2 ;REINA;CALLE;9;28004;CENTRO;4.042.040.457.289.980;-3.700.283.103.997.510;915 217 155 ; Teatro
Escuela y Sala de teatro. La Usina;Este local es a su vez una sala teatral y un espacio de formación donde todos sus profesores son profesionales del ámbito teatral, ya sean actores, directores o dramaturgos. Se caracteriza por ser un lugar de creación e investigación, donde los alumnos pueden desarrollar con libertad y autonomía sus propios proyectos teatrales, y en su programación ocupan un lugar destacado las obras dedicadas al público infantil. ;;; Metro: Embajadores (línea 3)  Bus: 6, 55, 59, 60, 78, 85, 148, E1  Renfe: Embajadores ;PALOS DE LA FRONTERA;CALLE;4;28012;ARGANZUELA;4.040.262.160.672.360;-3.700.134.139.930.530;914 684 754; Teatro
Espacio Labruc; Espacio Labruc es un lugar de creación, experimentación, investigación y formación escénica y visual ubicado en el barrio madrileño de Malasaña que nace con la intención de difundir la creación y el pensamiento contemporáneos. Centra su actividad en el comisariado de artes escénicas y visuales como plataforma de exhibición de piezas de pequeño formato, sin dejar de lado la performance, los conciertos acústicos o la danza contemporánea. ;;; Metro: Bilbao (líneas 1, 4), Alonso Martínez (líneas 4, 5, 10)  Bus: 40, 149, M2 ;PALMA;CALLE;18;28004;CENTRO;40.426.279.583.153.400;-37.030.672.051.282.800;; Teatro
Extensión AVAM. Matadero Madrid; La Asociación de Artistas Visuales de Madrid dispone de un espacio en Matadero destinado a  la participación, debate y visibilidad de las producciones de los artistas. ;;; Metro :  Legazpi (líneas 6, 3)  Bus: 6 , 8 , 18 , 19 , 45 , 78 , 148  Renfe: Embajadores ;CHOPERA;PASEO;14;28045;ARGANZUELA;4.039.241.367.848.800;-3.697.259.467.865.360;; Teatro
Factoría cultural. Matadero Madrid; El nuevo vivero de industrias creativas, con capacidad para más de 100 puestos de trabajo, ofrece a los emprendedores creativos la posibilidad de llevar a cabo sus proyectos en un espacio flexible y multidisciplinar, en el entorno privilegiado de Matadero Madrid. ;;; Metro :  Legazpi (líneas 6, 3)  Bus: 6 , 8 , 18 , 19 , 45 , 78 , 148  Renfe: Embajadores ;CHOPERA;PASEO;14;28045;ARGANZUELA;4.039.241.367.848.800;-3.697.259.467.865.360;"636 54 68 50                                
"; Teatro
Fernán Gómez. Centro Cultural de la Villa;;   Atención general:  de 9 a 15 y de 16 a 21 horas.   Oficinas:  de lunes a viernes de 9:30 a 14:30 y de 17 a 19 horas.   Venta anticipada de entradas en taquillas:  de martes a domingo de 11 a 13:30 y de 17 a 19 horas. Lunes cerrado   Exposiciones:  varia según la exposición, consultar en la  página web del Centro   ;  Sala Guirau (aforo 689 personas)  Sala Jardiel Poncela (aforo desde 95 hasta 175 personas, depende de la disposición de la obra que represente)  Sala de exposiciones (1500  m2 )  Espacios exteriores (21.402  m2 )  Cafe Colón  Venta de catálogos de exposiciones y de libros editados por el Teatro   En todas las salas y en las taquillas del teatro se dispone del sistema de Bucle Inductivo de audio, para que las personas con problemas de audición puedan comprar sus entradas y disfrutar de los espectáculos en programación.  Las personas con movilidad reducida, deben comunicarlo antes de adquirir sus localidades. ; Metro: Colón (línea 4), Serrano (línea 4)  Bus: 1, 5, 9, 14, 19, 21, 27, 45,  51, 53,  74, 150  Renfe: Recoletos ;COLON;PLAZA;4;28001;SALAMANCA;40.424.926.347.610.700;-36.899.208.519.663.400;"914 362 540 Ext. 200 (Información general) / Ext. 208 (precios grupos, Amigos del Fernán Gómez y promociones)                         
"; Teatro
Karpas Teatro; Karpas es una pequeña sala, con 60 butacas, que ofrece producciones propias y de compañías invitadas. Además, colabora y participa en certámenes y festivales. Nace como teatro de cámara independiente en los años 70. Sus fundadores fueron Julio Pascual y Javier Franquelo, dos profesionales del mimo. Su escuela-taller forma cada año en el arte de la interpretación a jóvenes actores.  ; Días de cierre: lunes ; Objetos perdidos ; Metro: Anton Martín (línea 1), Atocha (línea 1)  Bus: 6, 26, 32 ;SANTA ISABEL;CALLE;19;28012;CENTRO;4.041.045.615.490.080;-36.977.049.393.895.800;915 396 236; Teatro
Kubik Fabrik;" &shy;&shy;&shy;Situada en una antigua nave industrial en el barrio de Usera,  la sala de teatro Kubik Fabrik es un espacio innovador que acoge proyectos de carácter local realizados por compañías y artistas alternativos. Por su escenario han pasado espectáculos recién salidos del horno y que más tarde se han ido estrenando en otras salas de la capital.   Además, la sala es un espacio que fomenta la integración a través de la exhibición de obras de compañías que trabajan con personas discapacitadas como La fundación de psicoballet Maite León.  Kubik Fabrik también ha producido sus propias obras entre las que destacan Metro cúbico, El gran atasco o Los mundos posibles. ";;; Metro. Plaza Elíptica (líneas 6, 11)  Bus: 6, 60, 81  Renfe: Hospital 12 de Octubre ;"PRIMITIVA GA&Ntilde;AN";CALLE;5;28026;USERA;4.038.091.743.834.920;-37.092.161.504.993.100;917 921 025; Teatro
