PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO
5996376,Biblioteca de Agricultura y Alimentación,"Biblioteca del anterior Ministerio de Agricultura, Pesca y Alimentación (MAPA), especializada en temas de agricultura, pesca, alimentación y desarrollo rural, contiene publicaciones desde 1604. Ha incorporado bibliotecas de unidades suprimidas con competencia agropecuaria y de donaciones particulares."," De lunes a viernes de 11 a 13 horas, excepto festivos y Navidad.  ",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=faada47c95ebe210VgnVCM2000000c205a0aRCRD,INFANTA ISABEL,PASEO,V,1,MADRID,MADRID,28014,441514,4473552,40.40865200572528,-3.6905914083142104,/contenido/entidadesYorganismos/BibliotecasEspecializadasUniversitarias
43550,"Biblioteca de Educación. Ministerio de Educación, Cultura y Deporte",, De lunes a viernes de 9 a 14:30 y de 16 a 18 horas.  Durante el mes de agosto la biblioteca permanecerá cerrada por la tarde. ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=135c598d1351c010VgnVCM1000000b205a0aRCRD,SAN AGUSTIN,CALLE,V,5,MADRID,MADRID,28014,440991,4474256,40.41496601492552,-3.696820375756445,/contenido/entidadesYorganismos/BibliotecasEspecializadasUniversitarias
2033,Biblioteca de Medio Ambiente," Centro de Documentación Ambiental y Biblioteca General del antiguo Ministerio de Medio Ambiente, tiene su origen en un Centro del Programa de Naciones Unidas para el Medio Ambiente radicado en Madrid. está especializada en la información ambiental producida en España, en otros países y por organismos internacionales. "," De lunes a viernes de 9 a 14 horas, salvo festivos, mes de agosto y Navidad ",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7ad1e79ee71c010VgnVCM1000000b205a0aRCRD,SAN JUAN DE LA CRUZ,PLAZA,V,S/N,MADRID,MADRID,28003,441283,4477249,40.441940126522496,-3.693643966751646,/contenido/entidadesYorganismos/ArchivosCentrosDocumentacion
1823,Biblioteca del Ministerio de Empleo y Seguridad Social," Especializada en temas sociolaborales y otras materias conexas,  su principal finalidad es el servicio de un departamento ministerial con el apoyo al estudio, investigación y conocimiento de las materias en las que está especializada, extendiendo la consulta de sus colecciones a toda persona interesada.  Cuenta con un considerable fondo bibliográfico y documental de más de 100.000 volúmenes y 2.700 títulos de publicaciones periódicas. ", Usuarios externos: de lunes a viernes de 9 a 14 horas ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fd78ef4d7f71c010VgnVCM1000000b205a0aRCRD,HUERTAS,CALLE,V,73,MADRID,MADRID,28014,441136,4474047,40.413084518797156,-3.6950919504264967,/contenido/entidadesYorganismos/BibliotecasEspecializadasUniversitarias
1881,Biblioteca Histórica Municipal," El origen de la  Biblioteca Histórica Municipal  fue la formación de una colección de libros sobre Madrid. Creada como Biblioteca Municipal en 1876 a iniciativa de Ramón de Mesonero Romanos, en 1990 recibe la denominación de Histórica y se constituye en un centro para la investigación. Su principal objetivo es la protección del legado patrimonial bibliográfico y su difusión.   Entre sus  colecciones especiales  están las siguientes: Madrid, Teatro y Música (manuscritos e impresos de los siglos  XVII  a  XIX ), Bio-bibliografía (Colección Beltrán), Paremiología, Raros, Veterinaria, Guerra Civil Española (Colección Tomás Borrás), Lope de Vega, Cervantes y Toros. ",  Horario : de lunes a viernes de 8:30 a 14:30 horas.   Cerrada  festivos y los días 24 y 31 de diciembre. ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ccbc3d0b5e71c010VgnVCM1000000b205a0aRCRD,CONDE DUQUE,CALLE,V,9,MADRID,MADRID,28015,439832,4475644,40.42737760210632,-3.7106116887809817,/contenido/entidadesYorganismos/BibliotecasPublicas
6779450,Biblioteca Musical Víctor Espinós,"   La  Biblioteca Musical Víctor Espinós  fue fundada en 1919 a propuesta de Víctor Espinós como  Biblioteca Musical Circulante . Es un centro creado para la difusión y fomento de la educación musical y desde sus comienzos tiene un marcado carácter de servicio público, abierto a todo tipo de usuarios. En 1932 se inicia un servicio pionero de préstamo de instrumentos cuyo fin es facilitar el estudio musical. ", De lunes a viernes de 8:30 a 21:00 horas.   Cerrado  festivos y los días 24 y 31 de diciembre. ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD,CONDE DUQUE,CALLE,V,9,MADRID,MADRID,28015,439832,4475644,40.42737760210632,-3.7106116887809817,/contenido/entidadesYorganismos/BibliotecasPublicas
1744,Biblioteca Nacional de España," Fundada por Felipe  V  en 1712 como Biblioteca Pública de Palacio. En 1836 dejó de ser propiedad de la Corona y pasó a depender del Ministerio de la Gobernación y recibió por primera vez el nombre de Biblioteca Nacional y en 1896 se abrió al público.   Horario     Salas de lectura y Servicios:    De lunes a viernes de 9 a 21 y sábados de 9 a 14 horas.  La petición de fondos en el Salón General y en la Sala de Prensa y Revistas es de 9:30 a 13:30 y de 15 a 19 horas.  La tramitación presencial de carnés es de lunes a viernes de 9 a 19 y sábados de 9 a 13:45 horas.     Exposiciones y Museo:    De martes a sábado de 10 a 20 horas.  Domingos y festivos de 10 a 14 horas.      Calendario cierre:    Exposiciones y museo: días 1, 6 de enero, 1 de mayo, 10 de noviembre y 8, 24, 25 y 31 de diciembre.   Biblioteca: 1, 6 y de 20 al 25 de enero, del 17 al 19 de abril, 1, 2 y 15 de mayo, 19 de junio, 15 de agosto, 1 y 10 de noviembre, 6, 8, 24, 25 y 31 de diciembre.    ",,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b8d995a8bf5d010VgnVCM2000000c205a0aRCRD,RECOLETOS,PASEO,V,20,MADRID,MADRID,28001,441505,4475144,40.42299290045965,-3.690844141741069,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos
1882,Biblioteca Pública Municipal Conde Duque (Centro)," La Biblioteca Pública Conde Duque se inaugura en los años 90, cuando se traslada a este edificio la Biblioteca Municipal situada en el actual emplazamiento del Museo de Historia de Madrid, en la calle Fuencarral, separándose la Biblioteca Pública de la Biblioteca Histórica, que habían estado juntas hasta entonces.  El Cuartel de Conde Duque se reformó en 2011, obra llevada a cabo por el arquitecto Carlos de Riaño, reinaugurándose la biblioteca al año siguiente, en un primer momento fusionada con la Biblioteca Musical Víctor Espinós, de la que posteriormente se separaría. Con la reforma ganó en amplitud y homogeneidad con el resto de la red, ya que anteriormente no contaba con sala infantil ni multimedia. ", De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD,CONDE DUQUE,CALLE,V,9,MADRID,MADRID,28015,439833,4475645,40.42738668300474,-3.7105999955473625,/contenido/entidadesYorganismos/BibliotecasPublicas
1857,Biblioteca y Centro de Documentación de la Cámara de Comercio e Industria de Madrid," Especializada en economía y empresa, dispone de una base de datos bibliográfica sobre economía española y de otros países, fotocopiadora, fondo local madrileño, búsquedas retrospectivas y conexiones a otras bases de datos. ", A consultar telefónicamente ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=22913d0b5e71c010VgnVCM1000000b205a0aRCRD,PEDRO SALINAS,CALLE,V,11,MADRID,MADRID,28043,443982,4478987,40.45778346670559,-3.661974513251819,/contenido/entidadesYorganismos/ArchivosCentrosDocumentacion
4289,"Centro de Documentación del libro, la lectura y las letras"," Centro de Promoción del Libro, la Lectura y las Letras Españolas. ",  Consulta en sala: de lunes a viernes de 9 a 14:30 horas.    Información telefónica: de 9 a 18:30 horas.  ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=74b03b54d771c010VgnVCM1000000b205a0aRCRD,SANTIAGO RUSI&Ntilde;OL,CALLE,V,8,MADRID,MADRID,28040,439347,4477822,40.44696264594859,-3.7165371547459913,/contenido/entidadesYorganismos/ArchivosCentrosDocumentacion
